Table Name,Field Name,Field Type,Field Description
AWSNetworkFirewallFlow,Fin,bool,Indicates whether the FIN flag is set in the TCP packet (true/false).
AWSNetworkFirewallFlow,FirewallName,string,The name of the AWS Network Firewall instance generating the log.
AWSNetworkFirewallFlow,FlowId,string,A unique identifier for the network flow related to this event.
AWSNetworkFirewallFlow,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AWSNetworkFirewallFlow,NetFlowAge,string,The duration of the network flow in seconds.
AWSNetworkFirewallFlow,NetFlowBytes,string,The total number of bytes transferred in the network flow.
AWSNetworkFirewallFlow,NetFlowEnd,datetime,The timestamp when the network flow ended.
AWSNetworkFirewallFlow,NetFlowMaxttl,string,The maximum Time-to-Live (TTL) observed in the network flow.
AWSNetworkFirewallFlow,NetFlowMinttl,string,The minimum Time-to-Live (TTL) observed in the network flow.
AWSNetworkFirewallFlow,NetFlowPkts,string,The number of packets in the network flow.
AWSNetworkFirewallFlow,NetFlowStart,datetime,The timestamp when the network flow started.
AWSNetworkFirewallFlow,Proto,string,"The protocol used (e.g., TCP, UDP, ICMP)."
AWSNetworkFirewallFlow,Psh,bool,Indicates whether the PSH flag is set in the TCP packet (true/false).
AWSNetworkFirewallFlow,Rst,bool,Indicates whether the RST flag is set in the TCP packet (true/false).
AWSNetworkFirewallFlow,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AWSNetworkFirewallFlow,SrcIp,string,The source IP address of the packet that triggered the event.
AWSNetworkFirewallFlow,SrcPort,string,The source port from which the packet originated.
AWSNetworkFirewallFlow,Syn,bool,Indicates whether the SYN flag is set in the TCP packet (true/false).
AWSNetworkFirewallFlow,TCPFlags,string,The TCP flags observed in the packet
AWSNetworkFirewallFlow,TenantId,string,The Log Analytics workspace ID
AWSNetworkFirewallFlow,TimeGenerated,datetime,The timestamp when the log entry was created in AWS Network Firewall.
AWSNetworkFirewallFlow,Timestamp,datetime,The exact timestamp when the event was captured.
AWSNetworkFirewallFlow,Type,string,The name of the table
AWSRoute53Resolver,AccountId,string,The AWS account ID that owns the VPC which sent the query.
AWSRoute53Resolver,Answers,dynamic,"Array of DNS response records, including resolved IP addresses and other query-related information."
AWSRoute53Resolver,_BilledSize,real,The record size in bytes
AWSRoute53Resolver,FirewallDomainListId,string,ID of the domain list that matched the query domain.
AWSRoute53Resolver,FirewallRuleAction,string,Rule action from the matching firewall rule.
AWSRoute53Resolver,FirewallRuleGroupId,string,ID of the firewall rule group that applied to the query.
AWSRoute53Resolver,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AWSRoute53Resolver,LogType,string,Indicates the type of DNS log (e.g. ResolverQueryLogs).
AWSRoute53Resolver,QueryClass,string,The DNS query class. Usually IN (Internet).
AWSRoute53Resolver,QueryName,string,The domain name that was queried.
AWSRoute53Resolver,QueryType,string,"The DNS record type requested (e.g. A, AAAA, MX)."
AWSRoute53Resolver,Rcode,string,"Textual DNS response code (e.g. NOERROR, NXDOMAIN)."
AWSRoute53Resolver,Region,string,AWS region where the log was generated.
AWSRoute53Resolver,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AWSRoute53Resolver,SrcAddr,string,The source IP address of the instance that made the query.
AWSRoute53Resolver,SrcIds,dynamic,Identifiers related to the source instance where the DNS query originated from or passed through.
AWSRoute53Resolver,SrcPort,string,The source port on the instance that made the query.
AWSRoute53Resolver,TenantId,string,The Log Analytics workspace ID
AWSRoute53Resolver,TimeGenerated,datetime,The time the DNS query was received by Route 53 Resolver.
AWSRoute53Resolver,Transport,string,"The protocol used to send the query (e.g. UDP, TCP, TLS)."
AWSRoute53Resolver,Type,string,The name of the table
AWSRoute53Resolver,Version,string,Version of the log format.
AWSRoute53Resolver,VpcId,string,The ID of the VPC where the DNS query originated.
AWSS3ServerAccess,AccessPointARN,string,"The Amazon Resource Name (ARN) of the S3 access point used for the request, or '-' if not used."
AWSS3ServerAccess,ACLRequired,string,"Indicates if an ACL was required for the request: 'Yes' if required, '-' otherwise."
AWSS3ServerAccess,AuthenticationType,string,"The authentication type used: AuthHeader, QueryString, or '-' for unauthenticated requests."
AWSS3ServerAccess,_BilledSize,real,The record size in bytes
AWSS3ServerAccess,Bucket,string,The name of the S3 bucket against which the request was processed.
AWSS3ServerAccess,BucketOwner,string,The canonical user ID of the owner of the source bucket (another form of AWS account ID).
AWSS3ServerAccess,BytesSent,int,"Number of response bytes sent, excluding HTTP overhead, or 0."
AWSS3ServerAccess,CipherSuite,string,"The TLS cipher suite negotiated for HTTPS, or '-' for HTTP."
AWSS3ServerAccess,ErrorCode,string,"The S3 error code returned in the response, or '-' if none."
AWSS3ServerAccess,HostHeader,string,"The endpoint (host header) used to connect to S3 (e.g., s3.us-west-2.amazonaws.com)."
AWSS3ServerAccess,HostId,string,Amazon S3 extended request ID (x-amz-id-2).
AWSS3ServerAccess,HttpStatus,int,The HTTP status code returned in the response.
AWSS3ServerAccess,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AWSS3ServerAccess,Key,string,The object key (name) involved in the request.
AWSS3ServerAccess,ObjectSize,int,The size of the object in bytes.
AWSS3ServerAccess,Operation,string,"The operation type (e.g., REST.PUT.OBJECT, S3.LIFECYCLETRANSITION.OBJECT)."
AWSS3ServerAccess,Referer,string,"The value of the HTTP Referer header (linking page URL), if present."
AWSS3ServerAccess,RemoteIp,string,The apparent IP address of the requester (may be obscured by proxies or firewalls).
AWSS3ServerAccess,Requester,string,"The canonical user ID, IAM user, or assumed role making the request, or '-' for unauthenticated."
AWSS3ServerAccess,RequestId,string,A unique string ID generated by Amazon S3 to identify the request.
AWSS3ServerAccess,RequestUri,string,The URI part of the HTTP request.
AWSS3ServerAccess,SignatureVersion,string,"The signature version (SigV2 or SigV4) used to authenticate the request, or '-' for unauthenticated."
AWSS3ServerAccess,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AWSS3ServerAccess,TenantId,string,The Log Analytics workspace ID
AWSS3ServerAccess,TimeGenerated,datetime,"The time the AWS Server Access log was received by the S3 bucket, in UTC."
AWSS3ServerAccess,TLSVersion,string,"The TLS version used by the client (e.g., TLSv1.2), or '-' if TLS wasn't used."
AWSS3ServerAccess,TotalTime,int,The total time in milliseconds the request was in flight (from receipt to last response byte sent).
AWSS3ServerAccess,TurnAroundTime,string,The time in milliseconds S3 spent processing the request (from last request byte to first response byte).
AWSS3ServerAccess,Type,string,The name of the table
AWSS3ServerAccess,UserAgent,string,"The value of the HTTP User-Agent header (e.g., client software or browser)."
AWSS3ServerAccess,VersionId,string,"The version ID of the object involved in the request, or '-' if not applicable."
AWSSecurityHubFindings,AwsAccountId,string,The AWS account ID associated with the event.
AWSSecurityHubFindings,AwsRegion,string,The AWS region where the event occurred.
AWSSecurityHubFindings,AwsSecurityFindingCreatedAt,datetime,The timestamp when the security finding was created.
AWSSecurityHubFindings,AwsSecurityFindingDescription,string,A detailed description of the AWS security finding.
AWSSecurityHubFindings,AwsSecurityFindingFirstObservedAt,datetime,The timestamp when the security finding was first observed.
AWSSecurityHubFindings,AwsSecurityFindingGeneratorId,string,The ID of the generator that created the security finding.
AWSSecurityHubFindings,AwsSecurityFindingId,string,The unique identifier for the AWS security finding.
AWSSecurityHubFindings,AwsSecurityFindingLastObservedAt,datetime,The timestamp when the security finding was last observed.
AWSSecurityHubFindings,AwsSecurityFindingProcessedAt,datetime,The timestamp when the security finding was processed.
AWSSecurityHubFindings,AwsSecurityFindingProductArn,string,The Amazon Resource Name (ARN) of the product that generated the finding.
AWSSecurityHubFindings,AwsSecurityFindingProductFields,dynamic,Additional fields provided by the product that generated the finding.
AWSSecurityHubFindings,AwsSecurityFindingProductName,string,The name of the product that generated the finding.
AWSSecurityHubFindings,AwsSecurityFindingSeverity,dynamic,The severity level of the security finding.
AWSSecurityHubFindings,AwsSecurityFindingTitle,string,The title of the AWS security finding.
AWSSecurityHubFindings,AwsSecurityFindingTypes,dynamic,The types or categories of the AWS security finding.
AWSSecurityHubFindings,AwsSecurityFindingUpdatedAt,datetime,The timestamp when the security finding was last updated.
AWSSecurityHubFindings,_BilledSize,real,The record size in bytes
AWSSecurityHubFindings,ComplianceAssociatedStandards,dynamic,The compliance standards associated with the resource.
AWSSecurityHubFindings,ComplianceRelatedRequirements,dynamic,The related compliance requirements.
AWSSecurityHubFindings,ComplianceSecurityControlId,string,The ID of the security control related to compliance.
AWSSecurityHubFindings,ComplianceSecurityControlParameters,dynamic,Parameters associated with the security control.
AWSSecurityHubFindings,ComplianceStatus,string,"The compliance status of the resource (e.g., COMPLIANT, NON_COMPLIANT)."
AWSSecurityHubFindings,ComplianceStatusReasons,dynamic,The reasons for the compliance status.
AWSSecurityHubFindings,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AWSSecurityHubFindings,RawData,dynamic,The raw data associated with the finding.
AWSSecurityHubFindings,RecordState,string,"The state of the record (e.g., ACTIVE, ARCHIVED)."
AWSSecurityHubFindings,Remediation,dynamic,Details about how to remediate the security finding.
AWSSecurityHubFindings,Resources,dynamic,The resources associated with the security finding.
AWSSecurityHubFindings,SchemaVersion,string,The version of the schema used for the finding.
AWSSecurityHubFindings,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AWSSecurityHubFindings,TenantId,string,The Log Analytics workspace ID
AWSSecurityHubFindings,TimeGenerated,datetime,The timestamp when the event was generated.
AWSSecurityHubFindings,Type,string,The name of the table
AWSSecurityHubFindings,WorkflowState,string,"The workflow state of the finding (e.g., NEW, RESOLVED)."
AWSVPCFlow,AccountId,string,"The AWS account ID of the owner of the source network interface for which traffic is recorded. If the network interface is created by an AWS service, for example when creating a VPC endpoint or Network Load Balancer, the record may display unknown for this field."
AWSVPCFlow,Action,string,The action that is associated with the traffic.
AWSVPCFlow,AzId,string,The ID of the Availability Zone.
AWSVPCFlow,_BilledSize,real,The record size in bytes
AWSVPCFlow,Bytes,long,The number of bytes transferred during the flow.
AWSVPCFlow,DstAddr,string,The destination address for outgoing traffic.
AWSVPCFlow,DstPort,int,The destination port of the traffic.
AWSVPCFlow,EcsClusterArn,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsClusterName,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsContainerId,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsContainerInstanceArn,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsContainerInstanceId,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsSecondContainerId,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsServiceName,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsTaskArn,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsTaskDefinitionArn,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,EcsTaskId,string,Optional. Providing a unique identifier for the log entry allows Logging to remove duplicate entries with the same timestamp and insertId in a single query result.
AWSVPCFlow,End,datetime,The time when the last packet of the flow was received within the aggregation interval.
AWSVPCFlow,FlowDirection,string,The direction of the flow with respect to the interface where traffic is captured.
AWSVPCFlow,InstanceId,string,The ID of the instance that's associated with network interface for which the traffic is recorded.
AWSVPCFlow,InterfaceId,string,The ID of the network interface for which the traffic is recorded.
AWSVPCFlow,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AWSVPCFlow,LogStatus,string,The logging status of the flow log.
AWSVPCFlow,Packets,int,The number of packets transferred during the flow.
AWSVPCFlow,PktDstAddr,string,The packet-level (original) destination IP address for the traffic.
AWSVPCFlow,PktDstAwsService,string,"The name of the subset of IP address ranges for the PktDstAddr field, if the destination IP address is for an AWS service."
AWSVPCFlow,PktSrcAddr,string,The packet-level (original) source IP address of the traffic.
AWSVPCFlow,PktSrcAwsService,string,"The name of the subset of IP address ranges for the PktSrcAddr field, if the source IP address is for an AWS service."
AWSVPCFlow,Protocol,int,The IANA protocol number of the traffic.
AWSVPCFlow,Region,string,The Region that contains the network interface for which traffic is recorded.
AWSVPCFlow,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AWSVPCFlow,SrcAddr,string,The source address for incoming traffic.
AWSVPCFlow,SrcPort,int,The source port of the traffic.
AWSVPCFlow,Start,datetime,The remote ip of the request.
AWSVPCFlow,SublocationId,string,The ID of the sublocation that contains the network interface for which traffic is recorded.
AWSVPCFlow,SublocationType,string,The type of sublocation that is returned in the sublocationId field.
AWSVPCFlow,SubnetId,string,The ID of the subnet.
AWSVPCFlow,TcpFlags,int,The bitmask value for the following TCP flags.
AWSVPCFlow,TenantId,string,The Log Analytics workspace ID
AWSVPCFlow,TimeGenerated,datetime,The timestamp (UTC) of when the event was generated. This value will be the same as 'start' input field or the data arrival time to Azure Monitor in case the 'start' input field is empty or missing.
AWSVPCFlow,TrafficPath,string,The path that egress traffic takes to the destination.
AWSVPCFlow,TrafficType,string,"The type of traffic. The possible values are: IPv4, IPv6, and EFA. For more information search for 'Elastic Fabric Adapter (EFA)'."
AWSVPCFlow,Type,string,The name of the table
AWSVPCFlow,Version,int,The VPC Flow Logs version.
AWSVPCFlow,VpcId,string,The ID of the VPC.
AWSWAF,Action,string,"The terminating action taken by AWS WAF (ALLOW, BLOCK, CAPTCHA, or Challenge)."
AWSWAF,Args,string,The query string parameters of the request.
AWSWAF,_BilledSize,real,The record size in bytes
AWSWAF,CaptchaResponse,dynamic,Status of the CAPTCHA action for the request.
AWSWAF,ChallengeResponse,dynamic,Status of the security challenge for the request.
AWSWAF,ClientIp,string,IP address of the client making the request.
AWSWAF,Country,string,Country of origin for the request.
AWSWAF,ExcludedRules,dynamic,Rules excluded from evaluation in the rule group.
AWSWAF,FormatVersion,string,Version of the AWS WAF log format.
AWSWAF,Headers,dynamic,Headers included in the HTTP request.
AWSWAF,HttpMethod,string,"The HTTP method (GET, POST, etc.) of the request."
AWSWAF,HttpRequest,dynamic,Metadata about the HTTP request.
AWSWAF,HttpSourceId,string,"ID of the associated resource (e.g., CloudFront distribution, Load Balancer)."
AWSWAF,HttpSourceName,string,"Source of the request (e.g., CF, APIGW, ALB)."
AWSWAF,HttpVersion,string,HTTP version used in the request.
AWSWAF,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AWSWAF,Ja3Fingerprint,string,JA3 fingerprint of the TLS Client Hello.
AWSWAF,Labels,dynamic,Labels applied to the request by rules.
AWSWAF,NonTerminatingMatchingRules,dynamic,List of rules that matched but didn't terminate the request.
AWSWAF,OversizeFields,dynamic,Fields in the request that exceeded AWS WAF inspection limits.
AWSWAF,RateBasedRuleList,dynamic,List of rate-based rules applied to the request.
AWSWAF,RequestHeadersInserted,dynamic,Headers inserted for custom request handling.
AWSWAF,RequestId,string,Request ID for the network request.
AWSWAF,ResponseCodeSent,int,HTTP response code sent to the client.
AWSWAF,RuleGroupId,string,ID of the rule group that matched.
AWSWAF,RuleGroupList,dynamic,List of rule groups that acted on the request.
AWSWAF,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AWSWAF,TenantId,string,The Log Analytics workspace ID
AWSWAF,TerminatingRule,dynamic,"The rule that terminated the request. If this is present, it contains action, ruleId, ruleMatchDetails, and any additional information provided for each rule varies according factors such as the rule configuration, rule match type, and details of the match."
AWSWAF,TerminatingRuleId,string,ID of the network rule that matched.
AWSWAF,TerminatingRuleMatchDetails,dynamic,Details of the rule that terminated the request.
AWSWAF,TerminatingRuleType,string,Type of rule that terminated the request.
AWSWAF,TimeGenerated,datetime,Timestamp when the log was processed.
AWSWAF,Type,string,The name of the table
AWSWAF,Uri,string,The URI of the request.
AWSWAF,WebAclId,string,The GUID of the web ACL applied to the request.
AZFWApplicationRule,Action,string,Action taken by the firewall following the Application rule hit.
AZFWApplicationRule,ActionReason,string,"When no rule is triggered for a request, this field contains the reason for the action performed by the firewall. For example: a packet dropped because no rule matched will show Default Action ."
AZFWApplicationRule,_BilledSize,real,The record size in bytes
AZFWApplicationRule,DestinationPort,int,Request's destination port.
AZFWApplicationRule,Fqdn,string,Request's target address in FQDN (Fully qualified Domain Name). For example: www.microsoft.com .
AZFWApplicationRule,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AZFWApplicationRule,IsExplicitProxyRequest,bool,True if the request is received on an explicit proxy port. False otherwise.
AZFWApplicationRule,IsTlsInspected,bool,True if the connection is TLS inspected. False otherwise.
AZFWApplicationRule,Policy,string,Name of the policy in which the triggered rule resides.
AZFWApplicationRule,Protocol,string,"Request's network protocol. For example: HTTP, HTTPS."
AZFWApplicationRule,_ResourceId,string,A unique identifier for the resource that the record is associated with
AZFWApplicationRule,Rule,string,Name of the triggered rule.
AZFWApplicationRule,RuleCollection,string,Name of the rule collection in which the triggered rule resides.
AZFWApplicationRule,RuleCollectionGroup,string,Name of the rule collection group in which the triggered rule resides.
AZFWApplicationRule,SourceIp,string,Request's source IP address.
AZFWApplicationRule,SourcePort,int,Request's source port.
AZFWApplicationRule,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AZFWApplicationRule,_SubscriptionId,string,A unique identifier for the subscription that the record is associated with
AZFWApplicationRule,TargetUrl,string,Request's target address URL. Available only for HTTP or TLS-inspected HTTPS requests. For example: https://www.microsoft.com/en-us/about .
AZFWApplicationRule,TenantId,string,The Log Analytics workspace ID
AZFWApplicationRule,TimeGenerated,datetime,Timestamp (UTC) when the data plane log was created.
AZFWApplicationRule,Type,string,The name of the table
AZFWApplicationRule,WebCategory,string,"Web Category identified for the requested FQDN (Azure Firewall Standard) or URL (Azure Firewall Premium). If a web category is not available for this request, the field is empty."
AZFWDnsQuery,_BilledSize,real,The record size in bytes
AZFWDnsQuery,DnssecOkBit,bool,A flag indicating that the resolver supports DNSSEC records.
AZFWDnsQuery,EDNS0BufferSize,int,Client's EDNS0 buffer size. Specifies the maximum packet size allowed in responses in bytes.
AZFWDnsQuery,ErrorMessage,string,Description of the error returned to the client. Empty if request is successful.
AZFWDnsQuery,ErrorNumber,int,Error number matching the returned response code.
AZFWDnsQuery,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AZFWDnsQuery,Protocol,string,"Protocol used to send the DNS query. For example: TCP, UDP."
AZFWDnsQuery,QueryClass,string,DNS query's query class.
AZFWDnsQuery,QueryId,int,DNS query's query ID.
AZFWDnsQuery,QueryName,string,DNS query's name to resolve.
AZFWDnsQuery,QueryType,string,DNS query's query type.
AZFWDnsQuery,RequestDurationSecs,real,Duration of the DNS request from the time it arrived to the firewall and until a response was sent to the client.
AZFWDnsQuery,RequestSize,int,The size of the DNS request in bytes.
AZFWDnsQuery,_ResourceId,string,A unique identifier for the resource that the record is associated with
AZFWDnsQuery,ResponseCode,string,DNS reponse code.
AZFWDnsQuery,ResponseFlags,string,"DNS reponse flags, comma separated."
AZFWDnsQuery,ResponseSize,int,DNS reponse syze in bytes.
AZFWDnsQuery,SourceIp,string,DNS query's source IP address.
AZFWDnsQuery,SourcePort,int,DNS query's source Port.
AZFWDnsQuery,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AZFWDnsQuery,_SubscriptionId,string,A unique identifier for the subscription that the record is associated with
AZFWDnsQuery,TenantId,string,The Log Analytics workspace ID
AZFWDnsQuery,TimeGenerated,datetime,Timestamp (UTC) when the data plane log was created.
AZFWDnsQuery,Type,string,The name of the table
AZFWFatFlow,_BilledSize,real,The record size in bytes
AZFWFatFlow,DestinationIp,string,Flow's destination IP address.
AZFWFatFlow,DestinationPort,int,Flow's destination port.
AZFWFatFlow,FlowRate,real,Flow's bandwidth consumption rate in Megabits per second unit.
AZFWFatFlow,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AZFWFatFlow,Protocol,string,"Flow's network protocol. For example: UDP, TCP."
AZFWFatFlow,_ResourceId,string,A unique identifier for the resource that the record is associated with
AZFWFatFlow,SourceIp,string,Flow's source IP address.
AZFWFatFlow,SourcePort,int,Flow's source port.
AZFWFatFlow,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AZFWFatFlow,_SubscriptionId,string,A unique identifier for the subscription that the record is associated with
AZFWFatFlow,TenantId,string,The Log Analytics workspace ID
AZFWFatFlow,TimeGenerated,datetime,Timestamp (UTC) when the data plane log was created.
AZFWFatFlow,Type,string,The name of the table
AZFWFlowTrace,Action,string,Action taken by the firewall to log additional flow information.
AZFWFlowTrace,ActionReason,string,The reason for the action performed by the firewall. For example: when additional logging is enabled it shows Additional TCP Log .
AZFWFlowTrace,_BilledSize,real,The record size in bytes
AZFWFlowTrace,DestinationIp,string,Flow's destination IP address.
AZFWFlowTrace,DestinationPort,int,Flow's destination port.
AZFWFlowTrace,Flag,string,"Flags set in the connection. For example: FIN, FIN-ACK, SYN-ACK, RST, INVALID."
AZFWFlowTrace,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AZFWFlowTrace,Protocol,string,"Flow's network protocol. For example: UDP, TCP."
AZFWFlowTrace,_ResourceId,string,A unique identifier for the resource that the record is associated with
AZFWFlowTrace,SourceIp,string,Flow's source IP address.
AZFWFlowTrace,SourcePort,int,Flow's source port.
AZFWFlowTrace,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AZFWFlowTrace,_SubscriptionId,string,A unique identifier for the subscription that the record is associated with
AZFWFlowTrace,TenantId,string,The Log Analytics workspace ID
AZFWFlowTrace,TimeGenerated,datetime,Timestamp (UTC) when the data plane log was created.
AZFWFlowTrace,Type,string,The name of the table
AZFWIdpsSignature,Action,string,Action taken by the firewall following the IDPS signature hit.
AZFWIdpsSignature,_BilledSize,real,The record size in bytes
AZFWIdpsSignature,Category,string,Category of the matched IDPS signature.
AZFWIdpsSignature,Description,string,Description of the matched IDPS signature.
AZFWIdpsSignature,DestinationIp,string,Packet's destination IP address.
AZFWIdpsSignature,DestinationPort,int,Packet's destination port.
AZFWIdpsSignature,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AZFWIdpsSignature,Protocol,string,"Packet's network protocol. For example: UDP, TCP."
AZFWIdpsSignature,_ResourceId,string,A unique identifier for the resource that the record is associated with
AZFWIdpsSignature,Severity,int,Severity of the matched IDPS signature.
AZFWIdpsSignature,SignatureId,string,ID of the matched IDPS signature.
AZFWIdpsSignature,SourceIp,string,Packet's source IP address.
AZFWIdpsSignature,SourcePort,int,Packet's source port.
AZFWIdpsSignature,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AZFWIdpsSignature,_SubscriptionId,string,A unique identifier for the subscription that the record is associated with
AZFWIdpsSignature,TenantId,string,The Log Analytics workspace ID
AZFWIdpsSignature,TimeGenerated,datetime,Timestamp (UTC) when the data plane log was created.
AZFWIdpsSignature,Type,string,The name of the table
AZFWInternalFqdnResolutionFailure,_BilledSize,real,The record size in bytes
AZFWInternalFqdnResolutionFailure,Error,string,Description of the error that caused the failure of the FQDN resolution.
AZFWInternalFqdnResolutionFailure,Fqdn,string,The FQDN which the firewall failed to resolve.
AZFWInternalFqdnResolutionFailure,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AZFWInternalFqdnResolutionFailure,Policy,string,Name of the policy in which the rule with the failing FQDN resolution resides.
AZFWInternalFqdnResolutionFailure,_ResourceId,string,A unique identifier for the resource that the record is associated with
AZFWInternalFqdnResolutionFailure,Rule,string,Name of the rule with the failing FQDN resolution.
AZFWInternalFqdnResolutionFailure,RuleCollection,string,Name of the rule collection in which the rule with the failing FQDN resolution resides.
AZFWInternalFqdnResolutionFailure,RuleCollectionGroup,string,Name of the rule collection group in which the rule with the failing FQDN resolution resides.
AZFWInternalFqdnResolutionFailure,ServerIp,string,DNS Resolver server's IP address.
AZFWInternalFqdnResolutionFailure,ServerPort,int,DNS Resolver server's port.
AZFWInternalFqdnResolutionFailure,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AZFWInternalFqdnResolutionFailure,_SubscriptionId,string,A unique identifier for the subscription that the record is associated with
AZFWInternalFqdnResolutionFailure,TenantId,string,The Log Analytics workspace ID
AZFWInternalFqdnResolutionFailure,TimeGenerated,datetime,Timestamp (UTC) when the data plane log was created.
AZFWInternalFqdnResolutionFailure,Type,string,The name of the table
AZFWNatRule,_BilledSize,real,The record size in bytes
AZFWNatRule,DestinationIp,string,Packet's destination IP address.
AZFWNatRule,DestinationPort,int,Packet's destination port.
AZFWNatRule,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AZFWNatRule,Policy,string,Name of the policy in which the triggered rule resides.
AZFWNatRule,Protocol,string,"Packet's network protocol. For example: UDP, TCP."
AZFWNatRule,_ResourceId,string,A unique identifier for the resource that the record is associated with
AZFWNatRule,Rule,string,Name of the triggered rule.
AZFWNatRule,RuleCollection,string,Name of the rule collection in which the triggered rule resides.
AZFWNatRule,RuleCollectionGroup,string,Name of the rule collection group in which the triggered rule resides.
AZFWNatRule,SourceIp,string,Packet's source IP address.
AZFWNatRule,SourcePort,int,Packet's source port.
AZFWNatRule,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AZFWNatRule,_SubscriptionId,string,A unique identifier for the subscription that the record is associated with
AZFWNatRule,TenantId,string,The Log Analytics workspace ID
AZFWNatRule,TimeGenerated,datetime,Timestamp (UTC) when the data plane log was created.
AZFWNatRule,TranslatedIp,string,Original Destination IP address of the packet is replaced with TranslatedIp.
AZFWNatRule,TranslatedPort,int,Original Destination port of the packet is replaced with TranslatedPort.
AZFWNatRule,Type,string,The name of the table
AZFWNetworkRule,Action,string,Action taken by the firewall following the match with this Network Rule. For example: Firewall may Allow/Deny this specific packet.
